name,description,path,UI Unit,Units matched to
Thenardite,,Direct Use Commodity/Industrial Mineral/,,
Tremolite Actinolite,,Direct Use Commodity/Industrial Mineral/,Mt,
Vermiculite,,Direct Use Commodity/Industrial Mineral/,kt,
Wollastonite,,Direct Use Commodity/Industrial Mineral/,Mt,
Zeolite,,Direct Use Commodity/Industrial Mineral/,kt,
Zircon,,Direct Use Commodity/Industrial Mineral/,Mt,AIMR
Andalusite,,Direct Use Commodity/Industrial Mineral/Aluminosilicate/,kt,
Kyanite,,Direct Use Commodity/Industrial Mineral/Aluminosilicate/,Mt,
Pyrophyllite,,Direct Use Commodity/Industrial Mineral/Aluminosilicate/,Mt,
Sillimanite,,Direct Use Commodity/Industrial Mineral/Aluminosilicate/,kt,
Asbestos Amphibole,,Direct Use Commodity/Industrial Mineral/Asbestos/,kt,
Asbestos Serpentine,,Direct Use Commodity/Industrial Mineral/Asbestos/,kt,
Anthophyllite,,Direct Use Commodity/Industrial Mineral/Asbestos/Asbestos Amphibole/,kt,
Chrysotile,,Direct Use Commodity/Industrial Mineral/Asbestos/Asbestos Amphibole/,kt,
Crocidolite,,Direct Use Commodity/Industrial Mineral/Asbestos/Asbestos Amphibole/,kt,
Brick Clay,,Direct Use Commodity/Industrial Mineral/Clay/,kt,
Fullers Earth,,Direct Use Commodity/Industrial Mineral/Clay/,kt,
Halloysite,,Direct Use Commodity/Industrial Mineral/Clay/,,
Kaolin,,Direct Use Commodity/Industrial Mineral/Clay/,Mt,AIMR
Sepiolite,,Direct Use Commodity/Industrial Mineral/Clay/,Mt,
White Firing Clay,,Direct Use Commodity/Industrial Mineral/Clay/,Mt,
Bentonite,,Direct Use Commodity/Industrial Mineral/Clay/Fullers Earth/,kt,
Palygorskite,,Direct Use Commodity/Industrial Mineral/Clay/Fullers Earth/,kt,
Anhydrite,,Direct Use Commodity/Industrial Mineral/Evaporite/,kt,
Carnallite,,Direct Use Commodity/Industrial Mineral/Evaporite/,kt,
Gypsum,,Direct Use Commodity/Industrial Mineral/Evaporite/,Mt,
Salt,,Direct Use Commodity/Industrial Mineral/Evaporite/,Mt,
Sylvite,,Direct Use Commodity/Industrial Mineral/Evaporite/,Mt,
Chert,,Direct Use Commodity/Industrial Mineral/Silica/,kt,
Chemical Compound Product,,Produced Commodity/,,
Metal,,Produced Commodity/,,
Metalloid,,Produced Commodity/,,
Non-Metal,,Produced Commodity/,,
Chemical Oxide Product,,Produced Commodity/Chemical Compound Product/,,
Lime,,Produced Commodity/Chemical Compound Product/,Mt,
Nitrate,,Produced Commodity/Chemical Compound Product/,Mt,
Potash,,Produced Commodity/Chemical Compound Product/,Mt,AIMR
Soda Ash,,Produced Commodity/Chemical Compound Product/,Mt,
Alumina,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,Mt,AIMR
Chrome,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
Ga2O3,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,,
HfO2,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,t,
Iron Oxide,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,Mt,
Li2O,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
Magnesia,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,,
MoO3,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
Nb2O5,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,,
P4O10,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,Mt,
Rare Earth Oxide,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,Mt,
SnO2,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
Ta2O5,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
ThO2,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
TiO2,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,Mt,
